TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	1.0523	21.7011	0.214744	3.55159	1.20222	2.62749	382.271	588.346	3.70835	65.1669	19.14	21.3064	60.5004	4.42848	4.67403	0.0717892	1441.38	8.12089	0	0.0654548	3.52767	8.87244	232.09	4.08486	0	28.562	20.9321	124.987	0.563232	0.861377	0.857186	247.051	0.267593	10070.7	347.423	1891.25	252.09	597.435
1	0.00054	18.0884	43.0191	3.77912	26.3338	2.40089	5.24399	3090.38	45520.8	7.37649	89.8896	38.0087	42.3475	339.404	8.84915	9.29581	0.0987073	2741.32	0	0.108702	0.130913	0	17.6691	12055.7	8.15506	0	0	0	247.922	12.9923	1.72095	1.71091	0	0.534819	18569.6	2639.15	3504.04	499.189	0
2	0.00108	38.0216	313.702	10.0025	62.3881	0	32.6061	3439	43872.4	16.2109	128.475	0	0	674.243	47.9769	20.4896	1.98854	3112.63	0	3205.8	0.383934	0	551.789	15867	135.393	0	0	0	146.075	28.9021	0.207835	2.47326	0	0	2796.35	4742.38	21871.5	4069.35	0
3	0.00162	58.7666	646.355	17.5778	102.661	0	63.7454	3484.55	51757.4	24.523	184.197	0	0	1039.51	98.4014	38.9553	4.63615	3272.95	0	3411.01	0.780714	0	1182.26	17709.4	295.923	0	0	0	0	45.5874	3.09405	5.38632	0	0	0	6746.47	38107.8	7678.79	0
4	0.00216	79.7828	1008.51	26.0382	144.306	21.7757	95.1922	3456.28	61566.2	32.5527	256.761	0	0	1427.5	156.516	60.9683	7.64654	3338.91	0	3186.32	1.32505	0	1841.97	19012.2	475.149	0	0	0	0	62.2929	7.01179	8.83884	0	0	0	8675.82	51826.5	11150.6	0
5	0.0027	100.865	1390.27	35.1805	186.329	56.6314	126.128	3399.41	70722.5	40.3662	345.414	0	0	1834.46	221.089	85.189	10.8723	3343.87	0	2912.28	2.01043	0	2513.34	20116.6	668.273	0	0	0	0	78.7671	10.8094	12.2901	0	0	0	10537	63372.3	14474.5	0
6	0.00324	121.893	1786.85	44.8714	228.226	92.6723	156.297	3324.39	78708.2	47.9827	449.293	0	0	2257.61	291.444	111.053	14.2326	3303	0	2636.92	2.82868	0	3189.49	21107.8	872.744	0	0	0	0	94.8867	14.1053	15.559	0	0	0	12335.4	73058.3	17653	0
7	0.00378	142.777	2194.8	55.005	269.681	128.228	185.58	3234.31	85471.3	55.4164	567.487	0	0	2694.48	367.023	138.204	17.6706	3226.7	0	2372.54	3.77109	0	3866.2	22017.8	1086.6	0	0	0	0	110.575	16.7214	18.5602	0	0	0	14077	81152.5	20689.1	0
8	0.00432	163.447	2611.21	65.4904	310.469	162.292	213.902	3130.11	91082.9	62.6853	699.059	0	0	3142.8	447.302	166.365	21.1423	3123.35	0	2125.62	4.82872	0	4540.23	22864.7	1308.13	0	0	0	0	125.778	18.5556	21.2428	5073.2	0	0	15767.7	87877.8	23586.3	0
9	0.00486	183.593	3033.52	77.9089	359.711	194.2	241.213	2978.38	76163.4	69.805	840.99	0	0	3595.39	531.778	195.3	27.1787	3000.14	0	1898.01	5.99244	0	5208.91	23567	1535.79	0	0	0	0	142.296	19.5405	23.5727	27714.9	0	0	17432.4	93424.9	26347.2	4431.77
10	0.0054	203.346	3453.83	92.425	418.025	283.481	267.151	2906.39	72093.3	76.8577	993.336	0	0	4053.49	618.958	230.888	36.1492	2874.29	0	2629.4	7.23527	0	5861.37	24729.3	1765.37	8061.13	0	0	0	160.424	28.2166	29.2623	48791.3	0	0	19086.9	94541.8	28375.4	10241.3
11	0.00594	222.764	3873.84	108.237	481.087	436.718	291.942	2940.69	79279.4	83.8956	1155.93	0	0	4517.2	708.974	273.864	46.9669	2742.62	0	3957.84	8.55722	0	6501.7	25969.7	1997.43	16415.7	0	0	0	179.351	45.9667	38.9084	64193.3	0	0	20683.4	92026.9	29716.3	14384
12	0.00648	241.806	4293.95	124.56	544.914	628.353	315.695	3053.78	86835.5	90.7888	1327.86	0	0	4984.72	801.774	321.46	58.54	2605.54	0	5013.81	9.95649	0	7131.62	26910.6	2231.95	21202.6	0	0	0	198.255	69.3302	50.9948	74363	0	0	22175	87892.5	30645.1	17888.8
13	0.00702	257.269	4712.46	138.01	596.409	833.745	338.39	2773.96	87093.9	97.4034	1474.64	0	0	5381.91	896.925	370.927	68.1316	2467.61	0	5528.37	11.4245	0	7749.48	25103.8	2467.87	44789.9	0	0	0	213.422	94.7922	63.9824	99165	0	0	23467.4	83425	31359.9	36740.2
14	0.00756	267.055	5051.08	146.058	626.631	1001.68	356.4	2178.57	84713.9	103.471	1576.06	0	0	5649.21	978.492	412.388	73.6045	2460.01	0.539365	5328.14	12.6523	0	8243.17	21470.8	2664.67	64302.3	0	0	0	222.368	115.834	74.7709	130803	0	0	24447.5	77788.5	31686.9	67458.2
15	0.0081	271.838	5255.73	149.301	639.103	1092.8	367.849	1629.01	85506.8	108.692	1642.97	0	0	5791.12	1032.78	438.303	75.4843	2650.47	92.437	4139.2	13.4163	0	8538.41	18443	2790.46	63867.9	0	0	0	226.044	127.407	80.9723	155740	0	0	25234.3	71430	31698.7	95183.8
16	0.00864	273.323	5340.59	149.777	642.547	1119.29	373.98	1299.18	84170.3	113.388	1691.46	0	0	5845.38	1059.85	450.406	75.6042	2992.61	160.057	3153.56	13.7716	0	8658.42	16648.1	2848.24	51507.4	0	0	0	226.792	131.069	83.3039	169825	0	0	25929.3	65275.2	31576.7	112121
17	0.00918	273.222	5346.31	149.342	644.035	1118.31	376.796	1220.21	79200.3	117.828	1732.47	0	0	5856.32	1067.57	454.831	75.4813	3412.35	203.277	2824.17	13.8691	0	8662.94	15935.2	2858.66	35299.3	0	0	0	226.628	131.614	83.997	172101	0	0	26502.3	59147.7	31315.1	117161
18	0.00972	272.778	5314.37	149.06	647.028	1118.42	378.061	1345.88	73596.3	121.939	1771.7	0	0	5857.76	1065.68	457.037	75.8076	3845.93	229.578	2721.48	13.8483	0	8612.25	15984	2845.76	21586.9	0	0	0	226.662	132.646	84.7705	165543	0	0	27014.2	52809	30876.1	113514
19	0.01026	272.655	5274.63	149.24	651.934	1130.59	378.985	1582.11	69088.2	125.873	1811.75	0	0	5867.84	1061.72	459.981	76.575	4251.44	246.401	2831.31	13.8031	0	8549.93	16483.1	2827.86	12348.8	0	0	0	227.191	135.415	86.2755	154013	0	0	27506.3	46531.6	30298.6	105603
20	0.0108	273.042	5242.93	149.754	657.689	1151.82	380.212	1846.62	65653	129.735	1853.41	0	0	5891.65	1059.77	464.307	77.4755	4608.97	258.981	2987.56	13.7818	0	8499.22	17127.6	2814.83	7118.27	0	0	0	228.06	139.355	88.3185	140982	0	0	27986.4	40905.4	29684.1	97021.2
21	0.01134	273.854	5223.73	150.362	663.107	1174.02	381.933	2089.73	62838.4	133.544	1896.38	0	0	5926.67	1060.95	469.438	78.2219	4915.55	270.294	3041.53	13.7983	0	8466.75	17722.5	2809.43	4656.18	0	0	0	229.003	143.308	90.4072	128821	0	0	28447.3	36385.1	29127.9	89746
